#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1         1         0        10
0.999811            -399.964              159977

#        20         1         1         0   9.13242
0.162731            -319.902              102340

#        20         1         1         0   8.40336
0.999874            -399.971              159982

#        20         1         1         0    7.7821
0.999804            -399.959              159974

#        20         1         1         0   7.24638
0.701332            -367.113              136342

#        20         1         1         0   6.77966
0.893036            -389.529              152472

#        20         1         1         0   6.36943
0.752694              -375.4              142315

#        20         1         1         0   6.00601
0.990969            -398.536              158951

#        20         1         1         0   5.68182
0.999752            -399.951              159969

#        20         1         1         0   5.39084
0.99986            -399.963              159978

#        20         1         1         0   5.12821
0.99984            -399.963              159977

#        20         1         1         0   4.88998
0.855122            -385.674              149728

#        20         1         1         0    4.6729
0.999907            -399.972              159983

#        20         1         1         0   4.47427
0.99983            -399.961              159975

#        20         1         1         0   4.29185
0.990265            -398.761              159115

#        20         1         1         0   4.12371
0.999849            -399.963              159976

#        20         1         1         0   3.96825
0.999895            -399.962              159975

#        20         1         1         0   3.82409
0.999824            -399.951              159967

#        20         1         1         0   3.69004
0.999753            -399.936              159956

#        20         1         1         0   3.56506
0.999753            -399.929              159950

#        20         1         1         0   3.44828
0.99964            -399.904              159932

#        20         1         1         0    3.3389
0.999845            -399.917              159940

#        20         1         1         0   3.23625
0.999766            -399.889              159918

#        20         1         1         0   3.13972
0.999737            -399.863              159897

#        20         1         1         0   3.04878
0.999431            -399.774              159835

#        20         1         1         0   2.96296
0.993058            -398.995              159275

#        20         1         1         0   2.88184
0.999563            -399.736              159798

#        20         1         1         0   2.80505
0.999729            -399.715              159778

#        20         1         1         0   2.73224
0.999573            -399.627              159709

#        20         1         1         0   2.66312
0.999589            -399.567              159660

#        20         1         1         0    2.5974
0.999343            -399.442              159563

#        20         1         1         0   2.53485
0.999333            -399.362              159498

#        20         1         1         0   2.47525
0.999244            -399.227              159392

#        20         1         1         0   2.41838
0.977648              -396.7              157592

#        20         1         1         0   2.36407
0.999043            -398.938              159160

#        20         1         1         0   2.31214
0.998869            -398.772              159029

#        20         1         1         0   2.26244
0.980609            -396.465              157385

#        20         1         1         0   2.21484
0.998487            -398.357              158699

#        20         1         1         0    2.1692
0.998386             -398.11              158502

#        20         1         1         0    2.1254
0.998139            -397.846              158293

#        20         1         1         0   2.08333
0.997878            -397.567              158073

#        20         1         1         0    2.0429
0.997584            -397.208              157787

#        20         1         1         0   2.00401
0.997188            -396.851              157508

#        20         1         1         0   1.96657
0.996885            -396.471              157207

#        20         1         1         0    1.9305
0.996655            -396.083              156899

#        20         1         1         0   1.89573
0.996254            -395.658              156566

#        20         1         1         0    1.8622
0.995711             -395.14              156159

#        20         1         1         0   1.82983
0.982806            -393.129              154719

#        20         1         1         0   1.79856
0.994683            -394.074              155325

#        20         1         1         0   1.76835
0.992449            -393.259              154706

#        20         1         1         0   1.73913
0.989578            -392.334              154008

#        20         1         1         0   1.71086
0.985443             -391.39              153303

#        20         1         1         0    1.6835
0.989321            -391.169              153085

#        20         1         1         0     1.657
0.992018            -390.827              152781

#        20         1         1         0   1.63132
0.990318            -389.868              152052

#        20         1         1         0   1.60643
0.990154            -389.134              151476

#        20         1         1         0   1.58228
0.988453            -388.086              150681

#        20         1         1         0   1.55885
0.989063            -387.456              150171

#        20         1         1         0    1.5361
0.978275            -385.317              148638

#        20         1         1         0     1.514
0.987373            -385.524              148684

#        20         1         1         0   1.49254
0.986372            -384.499              147900

#        20         1         1         0   1.47167
0.984915            -383.328              147009

#        20         1         1         0   1.45138
0.984604             -382.35              146253

#        20         1         1         0   1.43164
0.983582             -381.16              145349

#        20         1         1         0   1.41243
0.977665            -379.296              144003

#        20         1         1         0   1.39373
0.981143            -378.592              143409

#        20         1         1         0   1.37552
0.980172            -377.398              142509

#        20         1         1         0   1.35777
0.978855            -375.938              141415

#        20         1         1         0   1.34048
0.977486            -374.582              140404

#        20         1         1         0   1.32363
0.975974            -373.117              139317

#        20         1         1         0   1.30719
0.970258            -371.013              137815

#        20         1         1         0   1.29116
0.973583             -370.16              137122

#        20         1         1         0   1.27551
0.972116            -368.566              135952

#        20         1         1         0   1.26024
0.970544            -366.843              134690

#        20         1         1         0   1.24533
0.966271             -364.87              133292

#        20         1         1         0   1.23077
0.967264            -363.364              132163

#        20         1         1         0   1.21655
0.963555            -361.469              130827

#        20         1         1         0   1.20265
0.960433            -359.404              129362

#        20         1         1         0   1.18906
0.962231            -358.058              128355

#        20         1         1         0   1.17578
0.960091            -355.971              126874

#        20         1         1         0   1.16279
0.958557            -354.128              125567

#        20         1         1         0   1.15009
0.952632            -351.603              123854

#        20         1         1         0   1.13766
0.953165            -349.823              122577

#        20         1         1         0   1.12549
0.952501            -347.836              121176

