#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1      1.18         0        10
0.0999129            -255.149             65105.4

#        20         1      1.18         0   9.13242
0.200019            -255.174             65116.1

#        20         1      1.18         0   8.40336
0.999801            -327.953              107560

#        20         1      1.18         0    7.7821
0.999778            -327.947              107557

#        20         1      1.18         0   7.24638
0.399981            -255.154             65106.2

#        20         1      1.18         0   6.77966
0.99986            -327.964              107566

#        20         1      1.18         0   6.36943
0.999658            -327.933              107549

#        20         1      1.18         0   6.00601
0.999859            -327.963              107566

#        20         1      1.18         0   5.68182
0.256634            -254.939             64996.4

#        20         1      1.18         0   5.39084
0.222332            -254.792             64922.7

#        20         1      1.18         0   5.12821
0.805557            -307.328             95543.5

#        20         1      1.18         0   4.88998
0.999831            -327.963              107565

#        20         1      1.18         0    4.6729
0.999826            -327.959              107563

#        20         1      1.18         0   4.47427
0.999723            -327.946              107555

#        20         1      1.18         0   4.29185
0.843043            -311.915             98238.5

#        20         1      1.18         0   4.12371
0.999868             -327.96              107563

#        20         1      1.18         0   3.96825
0.986918            -326.098              106567

#        20         1      1.18         0   3.82409
0.999948            -327.962              107563

#        20         1      1.18         0   3.69004
0.999744            -327.923              107539

#        20         1      1.18         0   3.56506
0.960063            -324.274              105430

#        20         1      1.18         0   3.44828
0.999808            -327.895              107522

#        20         1      1.18         0    3.3389
0.966861            -324.051              105302

#        20         1      1.18         0   3.23625
0.999607            -327.823              107476

#        20         1      1.18         0   3.13972
0.999528            -327.778              107448

#        20         1      1.18         0   3.04878
0.99975            -327.768              107437

#        20         1      1.18         0   2.96296
0.999708             -327.71              107399

#        20         1      1.18         0   2.88184
0.999546            -327.618              107340

#        20         1      1.18         0   2.80505
0.997437            -327.225              107123

#        20         1      1.18         0   2.73224
0.961537            -323.604              105032

#        20         1      1.18         0   2.66312
0.999267            -327.338              107159

#        20         1      1.18         0    2.5974
0.997757            -326.979              106943

#        20         1      1.18         0   2.53485
0.995922            -326.641              106738

#        20         1      1.18         0   2.47525
0.99898            -326.888              106863

#        20         1      1.18         0   2.41838
0.998616             -326.68              106730

#        20         1      1.18         0   2.36407
0.985178            -325.086              105808

#        20         1      1.18         0   2.31214
0.956789            -321.829              103946

#        20         1      1.18         0   2.26244
0.997466            -325.852              106202

#        20         1      1.18         0   2.21484
0.997696            -325.665              106071

#        20         1      1.18         0    2.1692
0.99744            -325.344              105863

#        20         1      1.18         0    2.1254
0.997125            -324.951              105608

#        20         1      1.18         0   2.08333
0.996564            -324.551              105352

#        20         1      1.18         0    2.0429
0.99535             -323.97              104998

#        20         1      1.18         0   2.00401
0.990339            -323.112              104475

#        20         1      1.18         0   1.96657
0.995624            -323.207              104481

#        20         1      1.18         0    1.9305
0.989299            -322.006              103770

#        20         1      1.18         0   1.89573
0.994652            -322.146              103800

#        20         1      1.18         0    1.8622
0.99388             -321.46              103364

#        20         1      1.18         0   1.82983
0.993443            -320.847              102969

#        20         1      1.18         0   1.79856
0.992664            -320.104              102497

#        20         1      1.18         0   1.76835
0.990149            -319.099              101882

#        20         1      1.18         0   1.73913
0.98921            -318.388              101428

#        20         1      1.18         0   1.71086
0.990612            -317.822              101047

#        20         1      1.18         0    1.6835
0.981678            -316.033              100000

#        20         1      1.18         0     1.657
0.973418            -314.164             98906.2

#        20         1      1.18         0   1.63132
0.9877            -314.975             99259.7

#        20         1      1.18         0   1.60643
0.986978            -314.011             98651.7

#        20         1      1.18         0   1.58228
0.983613            -312.603             97803.6

#        20         1      1.18         0   1.55885
0.984749            -311.777             97262.4

#        20         1      1.18         0    1.5361
0.9838            -310.685             96583.4

