#    N    J    D    H   B
#     <|m|>       <E>    <E^2>

#        20         1       1.8         0        10
0.000238338            -31.7712             1015.91

#        20         1       1.8         0   9.13242
0.999715            -79.9499             6396.46

#        20         1       1.8         0   8.40336
0.997319            -79.6922             6375.25

#        20         1       1.8         0    7.7821
0.0999871            -31.9142             1021.48

#        20         1       1.8         0   7.24638
0.999754            -79.9559             6397.25

#        20         1       1.8         0   6.77966
0.999658            -79.9452             6397.01

#        20         1       1.8         0   6.36943
0.999304            -79.9126             6392.73

#        20         1       1.8         0   6.00601
0.999537            -79.9338             6395.78

#        20         1       1.8         0   5.68182
0.999188            -79.8926             6392.57

#        20         1       1.8         0   5.39084
0.99918            -79.9008             6391.77

#        20         1       1.8         0   5.12821
0.999298            -79.9077             6391.82

#        20         1       1.8         0   4.88998
0.999766            -79.9443             6394.75

#        20         1       1.8         0    4.6729
0.299816            -39.7453             1936.29

#        20         1       1.8         0   4.47427
0.999343            -79.8779             6387.41

#        20         1       1.8         0   4.29185
0.876102            -72.4883             5573.93

#        20         1       1.8         0   4.12371
0.99964            -79.8601             6382.23

#        20         1       1.8         0   3.96825
0.999614            -79.8211             6375.43

#        20         1       1.8         0   3.82409
0.999313            -79.7365             6363.83

#        20         1       1.8         0   3.69004
0.99918            -79.6697             6353.74

#        20         1       1.8         0   3.56506
0.999414             -79.604             6340.84

#        20         1       1.8         0   3.44828
0.999027            -79.4684             6322.26

#        20         1       1.8         0    3.3389
0.99893            -79.3522             6302.82

#        20         1       1.8         0   3.23625
0.998945            -79.2179             6280.91

#        20         1       1.8         0   3.13972
0.987214            -78.1725             6166.51

#        20         1       1.8         0   3.04878
0.998085             -78.767             6213.54

#        20         1       1.8         0   2.96296
0.998071            -78.5433             6177.57

#        20         1       1.8         0   2.88184
0.997701            -78.2531             6132.41

#        20         1       1.8         0   2.80505
0.987227            -77.1185             6004.51

#        20         1       1.8         0   2.73224
0.996997            -77.5306             6020.14

#        20         1       1.8         0   2.66312
0.995801            -77.0345              5949.5

#        20         1       1.8         0    2.5974
0.995111            -76.5674             5879.05

#        20         1       1.8         0   2.53485
0.995268            -76.1174             5806.44

#        20         1       1.8         0   2.47525
0.994487            -75.5002             5714.46

#        20         1       1.8         0   2.41838
0.993292            -74.8197             5616.71

#        20         1       1.8         0   2.36407
0.992726            -74.1467             5516.35

#        20         1       1.8         0   2.31214
0.99186            -73.4096             5408.22

#        20         1       1.8         0   2.26244
0.987479            -72.2709             5263.36

#        20         1       1.8         0   2.21484
0.989437             -71.585             5149.79

#        20         1       1.8         0    2.1692
0.988069            -70.5615             5006.97

#        20         1       1.8         0    2.1254
0.986847            -69.5375             4865.32

#        20         1       1.8         0   2.08333
0.985308            -68.3736             4707.15

#        20         1       1.8         0    2.0429
0.983435            -67.0979             4539.79

#        20         1       1.8         0   2.00401
0.981762            -65.7535             4363.06

#        20         1       1.8         0   1.96657
0.979786            -64.3398             4183.35

#        20         1       1.8         0    1.9305
0.977504            -62.7259              3983.5

#        20         1       1.8         0   1.89573
0.975233            -61.1761             3795.36

#        20         1       1.8         0    1.8622
0.972633            -59.3925             3586.23

#        20         1       1.8         0   1.82983
0.970127            -57.5782             3378.93

#        20         1       1.8         0   1.79856
0.967256            -55.6808             3170.41

#        20         1       1.8         0   1.76835
0.964134            -53.6193              2949.8

#        20         1       1.8         0   1.73913
0.96097             -51.515             2734.29

#        20         1       1.8         0   1.71086
0.957409            -49.2458             2513.72

#        20         1       1.8         0    1.6835
0.953653            -46.8259              2286.8

#        20         1       1.8         0     1.657
0.94981            -44.4133             2073.99

#        20         1       1.8         0   1.63132
0.945795            -41.8838             1861.49

#        20         1       1.8         0   1.60643
0.941166            -39.1854             1653.72

#        20         1       1.8         0   1.58228
0.935922            -36.1951             1437.98

#        20         1       1.8         0   1.55885
0.931236            -33.3139             1244.03

#        20         1       1.8         0    1.5361
0.925697            -30.2315             1058.22

#        20         1       1.8         0     1.514
0.920066            -27.1451             891.849

#        20         1       1.8         0   1.49254
0.913834            -23.6952             723.971

#        20         1       1.8         0   1.47167
0.906119            -20.0958             586.096

#        20         1       1.8         0   1.45138
0.900702            -16.8181             466.915

#        20         1       1.8         0   1.43164
0.893706            -13.2304             367.686

#        20         1       1.8         0   1.41243
0.885805            -9.38173             296.159

#        20         1       1.8         0   1.39373
0.877579            -5.48878             248.227

#        20         1       1.8         0   1.37552
0.869344            -1.53662              231.41

#        20         1       1.8         0   1.35777
0.860061             2.69547             249.951

#        20         1       1.8         0   1.34048
0.850214             6.99803             301.736

#        20         1       1.8         0   1.32363
0.840506             11.1608              391.95

#        20         1       1.8         0   1.30719
0.830366             15.4417             518.657

#        20         1       1.8         0   1.29116
0.819042             20.0872             692.914

#        20         1       1.8         0   1.27551
0.804556             25.1944             952.108

#        20         1       1.8         0   1.26024
0.793965              29.513              1187.7

#        20         1       1.8         0   1.24533
0.780638             34.4141              1519.8

#        20         1       1.8         0   1.23077
0.765564             39.5932             1917.05

#        20         1       1.8         0   1.21655
0.751484             44.3297             2331.33

#        20         1       1.8         0   1.20265
0.732687             49.9494             2880.67

#        20         1       1.8         0   1.18906
0.713438             55.3456             3479.14

#        20         1       1.8         0   1.17578
0.689447             61.5988             4234.09

#        20         1       1.8         0   1.16279
0.671586             66.3215             4858.33

#        20         1       1.8         0   1.15009
0.646227             72.3646             5724.29

#        20         1       1.8         0   1.13766
0.621809             77.7515             6545.66

#        20         1       1.8         0   1.12549
0.58512              84.894             7730.56

#        20         1       1.8         0   1.11359
0.550811             90.9689             8820.59

#        20         1       1.8         0   1.10193
0.520159              96.664             9886.29

#        20         1       1.8         0   1.09051
0.496383             101.445               10817

#        20         1       1.8         0   1.07933
0.447485             108.484             12278.2

#        20         1       1.8         0   1.06838
0.401921             114.708             13644.1

#        20         1       1.8         0   1.05764
0.385876             118.367             14466.7

#        20         1       1.8         0   1.04712
0.347092             123.642             15700.4

#        20         1       1.8         0   1.03681
0.321672              127.49             16649.6

#        20         1       1.8         0   1.02669
0.292758             131.619               17679

#        20         1       1.8         0   1.01678
0.276651             134.906             18538.7

#        20         1       1.8         0   1.00705
0.259785             137.731             19293.7

#        20         1       1.8         0  0.997506
0.247104             140.642             20083.9

#        20         1       1.8         0  0.988142
0.227895              143.62             20907.3

#        20         1       1.8         0  0.978953
0.213466             146.068             21606.3

#        20         1       1.8         0  0.969932
0.20127             148.546             22321.8

#        20         1       1.8         0  0.961076
0.19172              150.71             22959.1

#        20         1       1.8         0  0.952381
0.182988             152.951             23632.7

#        20         1       1.8         0  0.943841
0.175951             154.931             24237.3

#        20         1       1.8         0  0.935454
0.171492             156.712             24790.2

#        20         1       1.8         0  0.927214
0.162516              158.61             25380.5

#        20         1       1.8         0  0.919118
0.155661             160.511             25982.4

#        20         1       1.8         0  0.911162
0.153159              162.06             26482.4

#        20         1       1.8         0  0.903342
0.144725              163.82             27051.8

#        20         1       1.8         0  0.895656
0.141979             165.447             27583.9

#        20         1       1.8         0  0.888099
0.137463             167.016             28105.7

#        20         1       1.8         0  0.880669
0.132932             168.691             28666.5

#        20         1       1.8         0  0.873362
0.129773             170.207             29178.5

#        20         1       1.8         0  0.866176
0.126137             171.772             29713.6

#        20         1       1.8         0  0.859107
0.125449              173.19               30204

#        20         1       1.8         0  0.852152
0.121123             174.656               30712

#        20         1       1.8         0  0.845309
0.119628             176.014             31188.5

#        20         1       1.8         0  0.838574
0.116604             177.449             31697.1

#        20         1       1.8         0  0.831947
0.113834             178.852             32196.3

#        20         1       1.8         0  0.825423
0.111451             180.272             32705.3

#        20         1       1.8         0  0.819001
0.110633             181.542               33166

#        20         1       1.8         0  0.812678
0.106993             182.781               33617

#        20         1       1.8         0  0.806452
0.105062             184.226             34148.2

#        20         1       1.8         0   0.80032
0.104945             185.384             34576.4

#        20         1       1.8         0  0.794281
0.101964             186.649             35047.7

#        20         1       1.8         0  0.788333
0.101566             187.892             35515.6

#        20         1       1.8         0  0.782473
0.0983978             189.203             36009.8

#        20         1       1.8         0  0.776699
0.0988083             190.436             36479.1

#        20         1       1.8         0   0.77101
0.0969913             191.545             36902.7

#        20         1       1.8         0  0.765404
0.0950303             192.812             37389.7

#        20         1       1.8         0  0.759878
0.0937282             193.966             37838.6

#        20         1       1.8         0  0.754432
0.0926699             195.189             38314.7

#        20         1       1.8         0  0.749064
0.0923533             196.454             38812.1

#        20         1       1.8         0  0.743771
0.0913589             197.449               39204

#        20         1       1.8         0  0.738552
0.0898862             198.505             39622.9

#        20         1       1.8         0  0.733407
0.0899029             199.664             40086.7

#        20         1       1.8         0  0.728332
0.0881832             200.813               40548

#        20         1       1.8         0  0.723327
0.0862008             201.912             40991.6

#        20         1       1.8         0  0.718391
0.0867654             202.974               41421

#        20         1       1.8         0  0.713521
0.0853951             204.056             41862.5

#        20         1       1.8         0  0.708717
0.0843286             205.317             42380.2

#        20         1       1.8         0  0.703977
0.0834733             206.262             42770.3

#        20         1       1.8         0  0.699301
0.0821712             207.333             43213.1

#        20         1       1.8         0  0.694686
0.0821636             208.411             43664.2

#        20         1       1.8         0  0.690131
0.0811715             209.464             44105.2

#        20         1       1.8         0  0.685636
0.0808082             210.438               44515

#        20         1       1.8         0  0.681199
0.0802926             211.449             44943.8

#        20         1       1.8         0  0.676819
0.0791543             212.442             45363.7

#        20         1       1.8         0  0.672495
0.0791668             213.495             45814.3

#        20         1       1.8         0  0.668226
0.0778782             214.617             46296.6

#        20         1       1.8         0  0.664011
0.0769614              215.51             46680.2

#        20         1       1.8         0  0.659848
0.0765962             216.447             47086.1

#        20         1       1.8         0  0.655738
0.0750266             217.496               47543

#        20         1       1.8         0  0.651678
0.0757104             218.412             47944.3

#        20         1       1.8         0  0.647668
0.0747096             219.409             48382.3

#        20         1       1.8         0  0.643708
0.0741572             220.397             48816.7

#        20         1       1.8         0  0.639795
0.0739149             221.384             49255.2

#        20         1       1.8         0   0.63593
0.0730218             222.301             49662.3

#        20         1       1.8         0  0.632111
0.0728862             223.258             50088.4

#        20         1       1.8         0  0.628338
0.072665             224.061             50450.8

#        20         1       1.8         0   0.62461
0.0718133             225.072             50905.1

#        20         1       1.8         0  0.620925
0.0719869             225.941             51299.4

#        20         1       1.8         0  0.617284
0.0708198             226.972             51765.7

#        20         1       1.8         0  0.613685
0.0713605             227.714             52104.3

#        20         1       1.8         0  0.610128
0.0702291             228.735             52571.9

#        20         1       1.8         0  0.606612
0.0695435              229.52             52933.4

#        20         1       1.8         0  0.603136
0.0694971             230.386             53331.8

#        20         1       1.8         0    0.5997
0.0684528             231.337               53774

#        20         1       1.8         0  0.596303
0.0685457             232.246             54194.7

#        20         1       1.8         0  0.592944
0.0679702             233.062             54575.9

#        20         1       1.8         0  0.589623
0.0676672             233.886             54962.5

#        20         1       1.8         0  0.586338
0.0671092             234.818             55401.9

#        20         1       1.8         0   0.58309
0.067312             235.592             55766.4

#        20         1       1.8         0  0.579878
0.0669382             236.469             56181.4

#        20         1       1.8         0  0.576701
0.0667233             237.335             56593.5

#        20         1       1.8         0  0.573559
0.0661351             238.093             56953.1

#        20         1       1.8         0  0.570451
0.0657939             238.997             57386.6

#        20         1       1.8         0  0.567376
0.0651577             239.793             57767.5

#        20         1       1.8         0  0.564334
0.0656285             240.661               58187

#        20         1       1.8         0  0.561325
0.0647156              241.45             58568.2

#        20         1       1.8         0  0.558347
0.064282             242.261             58960.4

#        20         1       1.8         0  0.555401
0.0641074             243.092             59366.5

#        20         1       1.8         0  0.552486
0.0639089             243.906             59764.3

#        20         1       1.8         0  0.549602
0.063324             244.713             60160.3

#        20         1       1.8         0  0.546747
0.0633862             245.308             60451.7

#        20         1       1.8         0  0.543922
0.0634151             246.182             60881.7

#        20         1       1.8         0  0.541126
0.0625379             246.992             61281.8

#        20         1       1.8         0  0.538358
0.0628061             247.683               61626

#        20         1       1.8         0  0.535619
0.0621208             248.487             62025.4

#        20         1       1.8         0  0.532907
0.0619548             249.194             62379.4

#        20         1       1.8         0  0.530223
0.0617591             249.958             62760.9

#        20         1       1.8         0  0.527565
0.0616402              250.69             63127.6

#        20         1       1.8         0  0.524934
0.0611062             251.518             63545.9

#        20         1       1.8         0   0.52233
0.0609827             252.198             63889.8

#        20         1       1.8         0  0.519751
0.0611359             252.956             64272.3

#        20         1       1.8         0  0.517197
0.0608499             253.633             64616.6

#        20         1       1.8         0  0.514668
0.0600237             254.555             65085.3

#        20         1       1.8         0  0.512164
0.0601696             255.184             65408.2

#        20         1       1.8         0  0.509684
0.0599555             255.806             65727.3

#        20         1       1.8         0  0.507228
0.0593587             256.585             66127.4

#        20         1       1.8         0  0.504796
0.0593211             257.313             66502.1

#        20         1       1.8         0  0.502386
0.0592901             258.058               66887

#        20         1       1.8         0       0.5
0.0588409             258.756             67247.3

